NO_OF_FRAMES	720
NO_OF_CAMERAS	7
NO_OF_MARKERS	2
FREQUENCY	120
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2014-06-17, 08:53:44	912.56663253
DATA_INCLUDED	3D
MARKER_NAMES	right_knee	right_ankle
Frame	Time	right_knee X	right_knee Y	right_knee Z	right_ankle X	right_ankle Y	right_ankle Z	
1	0.00833	1440.857	2052.804	474.694	1501.102	2073.985	102.815
2	0.01667	1440.625	2052.820	474.753	1501.187	2074.183	103.058
3	0.02500	1434.826	2054.241	482.904	1501.052	2073.905	102.775
4	0.03333	1435.092	2051.464	481.212	1501.557	2073.970	103.195
5	0.04167	1435.118	2051.504	481.120	1501.425	2073.629	102.974
6	0.05000	1435.160	2051.429	481.170	1501.329	2073.551	102.924
7	0.05833	1435.151	2051.393	481.199	1501.474	2073.784	103.147
8	0.06667	1429.771	2041.574	479.407	1501.732	2073.681	103.320
9	0.07500	1429.990	2041.554	479.591	1501.312	2073.741	103.047
10	0.08333	1429.989	2041.498	479.623	1501.329	2073.801	103.158
11	0.09167	1429.892	2041.336	479.511	1501.120	2073.547	102.939
12	0.10000	1429.934	2041.410	479.662	1501.305	2073.976	103.185
13	0.10833	1429.865	2041.370	479.614	1501.330	2073.969	103.188
14	0.11667	1440.519	2051.778	474.837	1501.237	2073.851	103.178
15	0.12500	1440.410	2051.683	474.872	1501.140	2073.757	102.909
16	0.13333	1440.348	2051.525	474.632	1500.989	2073.710	102.838
17	0.14167	1440.176	2051.512	474.806	1501.118	2073.836	102.993
18	0.15000	1439.949	2051.385	474.692	1501.123	2073.904	103.112
19	0.15833	1439.795	2051.284	474.619	1501.191	2074.198	103.148
20	0.16667	1439.574	2051.435	474.443	1501.136	2074.230	103.195
21	0.17500	1439.424	2051.240	474.354	1501.169	2074.384	103.262
22	0.18333	1439.313	2051.236	474.192	1500.866	2074.082	102.708
23	0.19167	1439.187	2051.078	473.861	1501.227	2074.125	102.936
24	0.20000	1439.317	2051.059	473.906	1501.228	2074.195	102.995
25	0.20833	1438.695	2051.304	473.815	1500.974	2074.476	102.857
26	0.21667	1438.581	2051.399	473.926	1500.965	2074.733	102.795
27	0.22500	1438.617	2051.528	473.897	1500.792	2074.535	102.688
28	0.23333	1438.785	2051.715	473.835	1501.000	2074.885	102.841
29	0.24167	1438.969	2051.664	473.767	1500.659	2074.770	102.401
30	0.25000	1438.961	2051.872	473.818	1500.765	2074.876	102.345
31	0.25833	1439.776	2051.444	473.670	1500.615	2074.659	102.197
32	0.26667	1439.681	2051.984	473.769	1500.467	2074.656	102.034
33	0.27500	1440.378	2051.766	473.604	1501.244	2075.076	102.573
34	0.28333	1440.220	2052.133	473.703	1500.997	2075.207	102.478
35	0.29167	1440.193	2052.303	473.963	1500.906	2075.122	102.313
36	0.30000	1440.623	2052.357	473.889	1500.817	2075.036	102.148
37	0.30833	1440.800	2052.399	473.696	1501.056	2075.373	102.304
38	0.31667	1441.272	2052.800	473.662	1500.975	2075.267	102.029
39	0.32500	1441.180	2052.625	473.840	1501.148	2075.443	102.347
40	0.33333	1441.386	2052.370	474.004	1500.910	2075.273	102.209
41	0.34167	1441.649	2052.285	474.149	1500.988	2075.438	102.127
42	0.35000	1441.870	2052.193	474.059	1500.967	2075.299	102.215
43	0.35833	1442.239	2052.110	474.109	1500.946	2075.121	101.959
44	0.36667	1442.569	2051.901	474.358	1500.913	2075.317	102.106
45	0.37500	1442.626	2051.778	474.444	1501.070	2075.144	102.174
46	0.38333	1442.924	2051.639	474.564	1501.115	2075.119	102.112
47	0.39167	1443.186	2051.524	474.736	1501.040	2075.143	102.024
48	0.40000	1443.102	2051.127	474.861	1501.126	2074.907	102.196
49	0.40833	1443.127	2050.886	474.769	1501.097	2075.086	102.199
50	0.41667	1443.708	2050.495	474.829	1501.093	2074.956	102.012
51	0.42500	1443.907	2050.258	474.885	1500.984	2074.756	102.113
52	0.43333	1444.165	2049.851	475.156	1501.282	2075.084	102.422
53	0.44167	1444.448	2049.479	475.186	1501.119	2074.891	102.382
54	0.45000	1444.850	2048.988	475.402	1501.114	2074.679	102.374
55	0.45833	1445.219	2048.562	475.473	1501.279	2074.958	102.622
56	0.46667	1445.436	2048.181	475.625	1501.135	2074.593	102.543
57	0.47500	1445.680	2047.770	475.519	1501.326	2074.694	102.776
58	0.48333	1445.963	2047.327	475.856	1501.135	2074.463	102.756
59	0.49167	1446.371	2046.536	476.004	1501.222	2074.503	102.932
60	0.50000	1446.698	2045.935	476.148	1501.081	2074.062	102.699
61	0.50833	1446.928	2045.409	476.384	1501.236	2074.302	103.048
62	0.51667	1447.352	2044.365	476.598	1501.072	2074.157	102.985
63	0.52500	1447.463	2043.435	476.782	1500.983	2073.867	102.867
64	0.53333	1447.438	2042.680	476.883	1501.102	2073.989	103.014
65	0.54167	1447.530	2041.938	476.900	1501.138	2073.998	103.218
66	0.55000	1447.582	2041.050	476.766	1501.076	2073.747	103.081
67	0.55833	1447.568	2039.996	476.778	1501.280	2073.925	103.536
68	0.56667	1447.593	2038.853	476.824	1501.021	2073.494	103.344
69	0.57500	1447.676	2037.520	476.733	1501.275	2073.690	103.728
70	0.58333	1447.929	2036.500	476.678	1501.176	2073.240	103.568
71	0.59167	1448.109	2035.050	476.702	1501.268	2073.121	103.770
72	0.60000	1447.730	2033.850	477.117	1501.148	2073.052	103.988
73	0.60833	1447.463	2032.572	477.562	1500.996	2072.841	104.215
74	0.61667	1447.088	2031.353	477.799	1501.087	2072.892	104.538
75	0.62500	1446.853	2029.982	477.884	1501.022	2072.453	104.570
76	0.63333	1446.622	2028.515	477.914	1500.856	2071.903	104.682
77	0.64167	1446.433	2026.774	478.087	1500.815	2071.712	105.034
78	0.65000	1445.993	2024.973	478.065	1500.819	2071.544	105.405
79	0.65833	1445.535	2023.270	478.176	1500.801	2071.227	105.707
80	0.66667	1444.879	2021.093	478.370	1500.311	2070.646	105.588
81	0.67500	1444.194	2018.922	478.491	1500.693	2070.381	106.187
82	0.68333	1443.410	2017.009	478.555	1500.533	2069.960	106.395
83	0.69167	1442.245	2014.730	478.732	1500.667	2069.533	106.945
84	0.70000	1441.310	2012.482	478.758	1500.328	2068.618	107.217
85	0.70833	1440.447	2009.505	478.662	1499.902	2068.752	108.175
86	0.71667	1439.657	2006.304	478.589	1499.645	2067.884	108.934
87	0.72500	1437.705	2003.421	479.569	1499.743	2068.166	110.033
88	0.73333	1435.600	2000.003	479.995	1499.298	2066.762	110.796
89	0.74167	1433.229	1996.220	480.337	1499.067	2065.495	111.919
90	0.75000	1430.083	1992.499	481.265	1498.749	2064.039	112.948
91	0.75833	1427.298	1987.693	481.146	1498.209	2061.893	114.007
92	0.76667	1424.092	1982.698	481.561	1499.677	2062.194	117.820
93	0.77500	1420.718	1977.859	481.955	1499.793	2060.435	120.026
94	0.78333	1417.375	1972.874	482.121	1499.157	2057.386	121.566
95	0.79167	1413.215	1968.146	482.621	1498.544	2054.654	123.205
96	0.80000	1409.939	1962.730	483.519	1497.985	2052.716	125.680
97	0.80833	1406.388	1957.876	484.172	1497.534	2049.203	127.998
98	0.81667	1403.775	1953.222	484.900	1495.575	2045.205	129.363
99	0.82500	1400.583	1948.818	486.010	1493.403	2041.002	130.580
100	0.83333	1397.514	1944.701	486.516	1490.544	2036.019	131.032
101	0.84167	1394.925	1940.700	487.007	1486.672	2030.205	130.708
102	0.85000	1392.792	1936.732	487.991	1482.727	2024.551	130.407
103	0.85833	1390.331	1933.100	488.825	1478.353	2018.773	130.314
104	0.86667	1388.207	1929.670	489.136	1483.043	2023.362	121.247
105	0.87500	1386.335	1926.635	489.681	1476.021	2015.995	120.513
106	0.88333	1384.455	1923.457	490.117	1469.561	2007.638	118.125
107	0.89167	1382.312	1920.475	491.181	1461.585	1999.787	116.254
108	0.90000	1380.092	1917.370	491.446	1454.102	1990.988	115.123
109	0.90833	1378.162	1914.188	491.747	1446.682	1981.497	112.949
